# JMH version: 1.37
# VM version: JDK 17.0.12, Java HotSpot(TM) 64-Bit Server VM, 17.0.12+8-LTS-286
# VM invoker: C:\Program Files\Java\jdk-17\bin\java.exe
# VM options: -ea -Dfile.encoding=UTF-8 -XX:+ShowCodeDetailsInExceptionMessages
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 15 iterations, 1 s each
# Measurement: 40 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.ProfileServiceBenchmark.testGetUsersMap

# Run progress: 0,00% complete, ETA 00:05:30
# Fork: 1 of 2
# Warmup Iteration   1: 11,260 us/op
# Warmup Iteration   2: 10,235 us/op
# Warmup Iteration   3: 9,938 us/op
# Warmup Iteration   4: 11,001 us/op
# Warmup Iteration   5: 10,053 us/op
# Warmup Iteration   6: 9,892 us/op
# Warmup Iteration   7: 10,089 us/op
# Warmup Iteration   8: 9,938 us/op
# Warmup Iteration   9: 10,511 us/op
# Warmup Iteration  10: 11,688 us/op
# Warmup Iteration  11: 10,275 us/op
# Warmup Iteration  12: 10,085 us/op
# Warmup Iteration  13: 9,886 us/op
# Warmup Iteration  14: 10,361 us/op
# Warmup Iteration  15: 10,236 us/op
Iteration   1: 10,640 us/op
# Warmup Iteration   1: 11,925 us/op
# Warmup Iteration   2: 10,038 us/op
# Warmup Iteration   3: 10,114 us/op
# Warmup Iteration   4: 9,190 us/op
# Warmup Iteration   5: 9,562 us/op
# Warmup Iteration   6: 9,674 us/op
# Warmup Iteration   7: 12,538 us/op
# Warmup Iteration   8: 9,876 us/op
# Warmup Iteration   9: 9,526 us/op
# Warmup Iteration  10: 9,350 us/op
# Warmup Iteration  11: 9,542 us/op
# Warmup Iteration  12: 9,703 us/op
# Warmup Iteration  13: 9,278 us/op
# Warmup Iteration  14: 9,333 us/op
# Warmup Iteration  15: 9,411 us/op
Iteration   1: 9,520 us/op
Iteration   2: 9,656 us/op
Iteration   3: 9,484 us/op
Iteration   4: 9,321 us/op
Iteration   5: 11,165 us/op
Iteration   6: 9,302 us/op
Iteration   7: 9,316 us/op
Iteration   8: 9,343 us/op
Iteration   9: 9,142 us/op
Iteration  10: 9,325 us/op
Iteration  11: 9,200 us/op
Iteration  12: 9,315 us/op
Iteration  13: 9,585 us/op
Iteration  14: 10,065 us/op
Iteration  15: 9,465 us/op
Iteration  16: 9,236 us/op
Iteration  17: 9,580 us/op
Iteration  18: 9,172 us/op
Iteration  19: 9,167 us/op
Iteration  20: 9,400 us/op
Iteration  21: 9,817 us/op
Iteration  22: 9,527 us/op
Iteration  23: 9,310 us/op
Iteration  24: 9,365 us/op
Iteration  25: 10,724 us/op
Iteration  26: 13,911 us/op
Iteration  27: 10,154 us/op
Iteration  28: 10,467 us/op
Iteration  29: 9,286 us/op
Iteration  30: 9,426 us/op
Iteration  31: 9,793 us/op
Iteration  32: 9,935 us/op
Iteration  33: 9,348 us/op
Iteration  34: 9,493 us/op
Iteration  35: 9,650 us/op
Iteration  36: 9,518 us/op
Iteration  37: 12,119 us/op
Iteration  38: 10,189 us/op
Iteration  39: 9,663 us/op
Iteration  40: 9,370 us/op


Result "benchmark.ProfileServiceBenchmark.testGetUsersMap":
  9,959 ±(99.9%) 0,264 us/op [Average]
  (min, avg, max) = (9,142, 9,959, 13,911), stdev = 0,691
  CI (99.9%): [9,695, 10,223] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 17.0.12, Java HotSpot(TM) 64-Bit Server VM, 17.0.12+8-LTS-286
# VM invoker: C:\Program Files\Java\jdk-17\bin\java.exe
# VM options: -ea -Dfile.encoding=UTF-8 -XX:+ShowCodeDetailsInExceptionMessages
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 15 iterations, 1 s each
# Measurement: 40 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.ProfileServiceBenchmark.testPasswordUpdate

# Run progress: 33,33% complete, ETA 00:03:45
# Fork: 1 of 2
# Warmup Iteration   1: 0,620 us/op
# Warmup Iteration   2: 0,495 us/op
# Warmup Iteration   3: 0,493 us/op
# Warmup Iteration   4: 0,487 us/op
# Warmup Iteration   5: 0,489 us/op
# Warmup Iteration   6: 0,489 us/op
# Warmup Iteration   7: 0,488 us/op
# Warmup Iteration   8: 0,487 us/op
# Warmup Iteration   9: 0,484 us/op
# Warmup Iteration  10: 0,486 us/op
# Warmup Iteration  11: 0,487 us/op
# Warmup Iteration  12: 0,485 us/op
# Warmup Iteration  13: 0,485 us/op
# Warmup Iteration  14: 0,485 us/op
# Warmup Iteration  15: 0,496 us/op
Iteration   1: 0,499 us/op
Iteration   2: 0,498 us/op
Iteration   3: 0,498 us/op
Iteration   4: 0,500 us/op
Iteration   5: 0,499 us/op
Iteration   6: 0,499 us/op
Iteration   7: 0,493 us/op
Iteration   8: 0,507 us/op
Iteration   9: 0,496 us/op
Iteration  10: 0,496 us/op
Iteration  11: 0,488 us/op
Iteration  12: 0,488 us/op
Iteration  13: 0,486 us/op
Iteration  14: 0,485 us/op
Iteration  15: 0,487 us/op
Iteration  16: 0,487 us/op
Iteration  17: 0,489 us/op
Iteration  18: 0,486 us/op
Iteration  19: 0,490 us/op
Iteration  20: 0,486 us/op
Iteration  21: 0,487 us/op
Iteration  22: 0,489 us/op
Iteration  23: 0,487 us/op
Iteration  24: 0,487 us/op
Iteration  25: 0,489 us/op
Iteration  26: 0,487 us/op
Iteration  27: 0,525 us/op
Iteration  28: 0,488 us/op
Iteration  29: 0,494 us/op
Iteration  30: 0,495 us/op
Iteration  31: 0,495 us/op
Iteration  32: 0,491 us/op
Iteration  33: 0,491 us/op
Iteration  34: 0,491 us/op
Iteration  35: 0,497 us/op
Iteration  36: 0,490 us/op
Iteration  37: 0,493 us/op
Iteration  38: 0,494 us/op
Iteration  39: 0,497 us/op
Iteration  40: 0,493 us/op

# Run progress: 50,00% complete, ETA 00:02:49
# Fork: 2 of 2
# Warmup Iteration   1: 0,599 us/op
# Warmup Iteration   2: 0,572 us/op
# Warmup Iteration   3: 0,503 us/op
# Warmup Iteration   4: 0,528 us/op
# Warmup Iteration   5: 0,503 us/op
# Warmup Iteration   6: 0,508 us/op
# Warmup Iteration   7: 0,508 us/op
# Warmup Iteration   8: 0,507 us/op
# Warmup Iteration   9: 0,504 us/op
# Warmup Iteration  10: 0,513 us/op
# Warmup Iteration  11: 0,504 us/op
# Warmup Iteration  12: 0,508 us/op
# Warmup Iteration  13: 0,504 us/op
# Warmup Iteration  14: 0,505 us/op
# Warmup Iteration  15: 0,509 us/op
Iteration   1: 0,505 us/op
Iteration   2: 0,508 us/op
Iteration   3: 0,502 us/op
Iteration   4: 0,506 us/op
Iteration   5: 0,509 us/op
Iteration   6: 0,505 us/op
Iteration   7: 0,506 us/op
Iteration   8: 0,506 us/op
Iteration   9: 0,503 us/op
Iteration  10: 0,503 us/op
Iteration  11: 0,505 us/op
Iteration  12: 0,505 us/op
Iteration  13: 0,507 us/op
Iteration  14: 0,512 us/op
Iteration  15: 0,505 us/op
Iteration  16: 0,505 us/op
Iteration  17: 0,505 us/op
Iteration  18: 0,506 us/op
Iteration  19: 0,505 us/op
Iteration  20: 0,573 us/op
Iteration  21: 0,504 us/op
Iteration  22: 0,507 us/op
Iteration  23: 0,505 us/op
Iteration  24: 0,504 us/op
Iteration  25: 0,506 us/op
Iteration  26: 0,513 us/op
Iteration  27: 0,508 us/op
Iteration  28: 0,528 us/op
Iteration  29: 0,508 us/op
Iteration  30: 0,507 us/op
Iteration  31: 0,503 us/op
Iteration  32: 0,505 us/op
Iteration  33: 0,505 us/op
Iteration  34: 0,505 us/op
Iteration  35: 0,506 us/op
Iteration  36: 0,505 us/op
Iteration  37: 0,509 us/op
Iteration  38: 0,507 us/op
Iteration  39: 0,504 us/op
Iteration  40: 0,506 us/op


Result "benchmark.ProfileServiceBenchmark.testPasswordUpdate":
  0,501 ±(99.9%) 0,005 us/op [Average]
  (min, avg, max) = (0,485, 0,501, 0,573), stdev = 0,012
  CI (99.9%): [0,496, 0,505] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 17.0.12, Java HotSpot(TM) 64-Bit Server VM, 17.0.12+8-LTS-286
# VM invoker: C:\Program Files\Java\jdk-17\bin\java.exe
# VM options: -ea -Dfile.encoding=UTF-8 -XX:+ShowCodeDetailsInExceptionMessages
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 15 iterations, 1 s each
# Measurement: 40 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.ProfileServiceBenchmark.testProfileUpdate

# Run progress: 66,67% complete, ETA 00:01:52
# Fork: 1 of 2
# Warmup Iteration   1: 0,569 us/op
# Warmup Iteration   2: 0,464 us/op
# Warmup Iteration   3: 0,469 us/op
# Warmup Iteration   4: 0,463 us/op
# Warmup Iteration   5: 0,465 us/op
# Warmup Iteration   6: 0,458 us/op
# Warmup Iteration   7: 0,456 us/op
# Warmup Iteration   8: 0,461 us/op
# Warmup Iteration   9: 0,459 us/op
# Warmup Iteration  10: 0,456 us/op
# Warmup Iteration  11: 0,455 us/op
# Warmup Iteration  12: 0,459 us/op
# Warmup Iteration  13: 0,483 us/op
# Warmup Iteration  14: 0,563 us/op
# Warmup Iteration  15: 0,596 us/op
Iteration   1: 0,564 us/op
Iteration   2: 0,589 us/op
Iteration   3: 0,559 us/op
Iteration   4: 0,613 us/op
Iteration   5: 0,612 us/op
Iteration   6: 0,606 us/op
Iteration   7: 0,621 us/op
Iteration   8: 0,620 us/op
Iteration   9: 0,586 us/op
Iteration  10: 0,591 us/op
Iteration  11: 0,606 us/op
Iteration  12: 0,582 us/op
Iteration  13: 0,597 us/op
Iteration  14: 0,602 us/op
Iteration  15: 0,591 us/op
Iteration  16: 0,607 us/op
Iteration  17: 0,592 us/op
Iteration  18: 0,569 us/op
Iteration  19: 0,620 us/op
Iteration  20: 0,599 us/op
Iteration  21: 0,608 us/op
Iteration  22: 0,629 us/op
Iteration  23: 0,617 us/op
Iteration  24: 0,589 us/op
Iteration  25: 0,581 us/op
Iteration  26: 0,602 us/op
Iteration  27: 0,618 us/op
Iteration  28: 0,622 us/op
Iteration  29: 0,568 us/op
Iteration  30: 0,600 us/op
Iteration  31: 0,657 us/op
Iteration  32: 0,565 us/op
Iteration  33: 0,584 us/op
Iteration  34: 0,558 us/op
Iteration  35: 0,554 us/op
Iteration  36: 0,551 us/op
Iteration  37: 0,607 us/op
Iteration  38: 0,618 us/op
Iteration  39: 0,621 us/op
Iteration  40: 0,616 us/op

# Run progress: 83,33% complete, ETA 00:00:56
# Fork: 2 of 2
# Warmup Iteration   1: 0,816 us/op
# Warmup Iteration   2: 0,591 us/op
# Warmup Iteration   3: 0,544 us/op
# Warmup Iteration   4: 0,539 us/op
# Warmup Iteration   5: 0,574 us/op
# Warmup Iteration   6: 0,533 us/op
# Warmup Iteration   7: 0,604 us/op
# Warmup Iteration   8: 0,513 us/op
# Warmup Iteration   9: 0,536 us/op
# Warmup Iteration  10: 0,591 us/op
# Warmup Iteration  11: 0,618 us/op
# Warmup Iteration  12: 0,626 us/op
# Warmup Iteration  13: 0,616 us/op
# Warmup Iteration  14: 0,582 us/op
# Warmup Iteration  15: 0,583 us/op
Iteration   1: 0,586 us/op
Iteration   2: 0,600 us/op
Iteration   3: 0,588 us/op
Iteration   4: 0,606 us/op
Iteration   5: 0,602 us/op
Iteration   6: 0,624 us/op
Iteration   7: 0,537 us/op
Iteration   8: 0,573 us/op
Iteration   9: 0,603 us/op
Iteration  10: 0,570 us/op
Iteration  11: 0,528 us/op
Iteration  12: 0,544 us/op
Iteration  13: 0,536 us/op
Iteration  14: 0,534 us/op
Iteration  15: 0,532 us/op
Iteration  16: 0,540 us/op
Iteration  17: 0,524 us/op
Iteration  18: 0,559 us/op
Iteration  19: 0,542 us/op
Iteration  20: 0,525 us/op
Iteration  21: 0,577 us/op
Iteration  22: 0,529 us/op
Iteration  23: 0,509 us/op
Iteration  24: 0,525 us/op
Iteration  25: 0,519 us/op
Iteration  26: 0,540 us/op
Iteration  27: 0,613 us/op
Iteration  28: 0,574 us/op
Iteration  29: 0,594 us/op
Iteration  30: 0,598 us/op
Iteration  31: 0,571 us/op
Iteration  32: 0,568 us/op
Iteration  33: 0,565 us/op
Iteration  34: 0,592 us/op
Iteration  35: 0,594 us/op
Iteration  36: 0,574 us/op
Iteration  37: 0,621 us/op
Iteration  38: 0,655 us/op
Iteration  39: 0,636 us/op
Iteration  40: 0,657 us/op


Result "benchmark.ProfileServiceBenchmark.testProfileUpdate":
  0,584 ±(99.9%) 0,013 us/op [Average]
  (min, avg, max) = (0,509, 0,584, 0,657), stdev = 0,034
  CI (99.9%): [0,571, 0,598] (assumes normal distribution)


# Run complete. Total time: 00:05:38

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

NOTE: Current JVM experimentally supports Compiler Blackholes, and they are in use. Please exercise
extra caution when trusting the results, look into the generated code to check the benchmark still
works, and factor in a small probability of new VM bugs. Additionally, while comparisons between
different JVMs are already problematic, the performance difference caused by different Blackhole
modes can be very significant. Please make sure you use the consistent Blackhole mode for comparisons.

Benchmark                                   Mode  Cnt  Score   Error  Units
ProfileServiceBenchmark.testGetUsersMap     avgt   80  9,959 ± 0,005  us/op
ProfileServiceBenchmark.testPasswordUpdate  avgt   80  0,501 ± 0,005  us/op
ProfileServiceBenchmark.testProfileUpdate   avgt   80  0,584 ± 0,013  us/op
