# JMH version: 1.37
# VM version: JDK 17.0.12, Java HotSpot(TM) 64-Bit Server VM, 17.0.12+8-LTS-286
# VM invoker: C:\Program Files\Java\jdk-17\bin\java.exe
# VM options: -ea -Dfile.encoding=UTF-8 -XX:+ShowCodeDetailsInExceptionMessages
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 15 iterations, 1 s each
# Measurement: 40 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PasswordUtilityBenchmark.testHashPassword
# Parameters: (passwordToTest = 123456)

# Run progress: 0,00% complete, ETA 00:03:40
# Fork: 1 of 2
# Warmup Iteration   1: 608,955 ns/op
# Warmup Iteration   2: 448,251 ns/op
# Warmup Iteration   3: 434,200 ns/op
# Warmup Iteration   4: 468,404 ns/op
# Warmup Iteration   5: 570,765 ns/op
# Warmup Iteration   6: 576,459 ns/op
# Warmup Iteration   7: 558,456 ns/op
# Warmup Iteration   8: 594,918 ns/op
# Warmup Iteration   9: 575,575 ns/op
# Warmup Iteration  10: 577,871 ns/op
# Warmup Iteration  11: 494,924 ns/op
# Warmup Iteration  12: 427,265 ns/op
# Warmup Iteration  13: 427,462 ns/op
# Warmup Iteration  14: 424,240 ns/op
# Warmup Iteration  15: 427,807 ns/op
Iteration  22: 427,674 ns/op
Iteration  23: 425,107 ns/op
Iteration  24: 423,815 ns/op
Iteration  25: 424,718 ns/op
Iteration  26: 424,155 ns/op
Iteration  27: 427,555 ns/op
Iteration  28: 424,877 ns/op
Iteration  29: 424,827 ns/op
Iteration  30: 424,528 ns/op
Iteration  31: 424,227 ns/op
Iteration  32: 424,301 ns/op
Iteration  33: 424,072 ns/op
Iteration  34: 426,181 ns/op
Iteration  35: 425,227 ns/op
Iteration  36: 425,596 ns/op
Iteration  37: 425,718 ns/op
Iteration  38: 427,154 ns/op
Iteration  39: 424,121 ns/op
Iteration  40: 426,393 ns/op


Result "benchmark.PasswordUtilityBenchmark.testHashPassword":
  426,621 ±(99.9%) 1,947 ns/op [Average]
  (min, avg, max) = (423,642, 426,621, 455,900), stdev = 5,096
  CI (99.9%): [424,674, 428,568] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 17.0.12, Java HotSpot(TM) 64-Bit Server VM, 17.0.12+8-LTS-286
# VM invoker: C:\Program Files\Java\jdk-17\bin\java.exe
# VM options: -ea -Dfile.encoding=UTF-8 -XX:+ShowCodeDetailsInExceptionMessages
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 15 iterations, 1 s each
# Measurement: 40 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PasswordUtilityBenchmark.testHashPassword
# Parameters: (passwordToTest = UnaPasswordMoltoLungaPerVedereSeCambiaQualcosaNelTempoDiHashing)

# Run progress: 50,00% complete, ETA 00:01:52
# Fork: 1 of 2
# Warmup Iteration   1: 625,255 ns/op
# Warmup Iteration   2: 490,639 ns/op
# Warmup Iteration   3: 496,127 ns/op
# Warmup Iteration   4: 495,277 ns/op
# Warmup Iteration   5: 494,858 ns/op
# Warmup Iteration   6: 494,193 ns/op
# Warmup Iteration   7: 500,421 ns/op
# Warmup Iteration   8: 498,973 ns/op
# Warmup Iteration   9: 499,554 ns/op
# Warmup Iteration  10: 496,452 ns/op
# Warmup Iteration  11: 497,924 ns/op
# Warmup Iteration  12: 494,902 ns/op
# Warmup Iteration  13: 495,657 ns/op
# Warmup Iteration  14: 495,910 ns/op
# Warmup Iteration  15: 496,511 ns/op
Iteration   1: 496,075 ns/op
Iteration   2: 503,206 ns/op
Iteration   3: 496,341 ns/op
Iteration   4: 495,115 ns/op
Iteration   5: 493,946 ns/op
Iteration   6: 494,844 ns/op
Iteration   7: 495,163 ns/op
Iteration   8: 495,802 ns/op
Iteration   9: 495,642 ns/op
Iteration  10: 494,598 ns/op
Iteration  11: 494,059 ns/op
Iteration  12: 504,401 ns/op
Iteration  13: 495,368 ns/op
Iteration  14: 494,289 ns/op
Iteration  15: 495,178 ns/op
Iteration  16: 501,163 ns/op
Iteration  17: 494,643 ns/op
Iteration  18: 497,139 ns/op
Iteration  19: 495,362 ns/op
Iteration  20: 494,811 ns/op
Iteration  21: 493,321 ns/op
Iteration  22: 497,082 ns/op
Iteration  23: 506,924 ns/op
Iteration  24: 502,592 ns/op
Iteration  25: 504,420 ns/op
Iteration  26: 503,237 ns/op
Iteration  27: 495,118 ns/op
Iteration  28: 496,472 ns/op
Iteration  29: 495,556 ns/op
Iteration  30: 496,323 ns/op
Iteration  31: 495,789 ns/op
Iteration  32: 494,033 ns/op
Iteration  33: 498,856 ns/op
Iteration  34: 495,806 ns/op
Iteration  35: 497,239 ns/op
Iteration  36: 496,870 ns/op
Iteration  37: 495,409 ns/op
Iteration  38: 493,783 ns/op
Iteration  39: 497,646 ns/op
Iteration  40: 495,550 ns/op

# Run progress: 75,00% complete, ETA 00:00:56
# Fork: 2 of 2
# Warmup Iteration   1: 628,013 ns/op
# Warmup Iteration   2: 502,000 ns/op
# Warmup Iteration   3: 496,186 ns/op
# Warmup Iteration   4: 494,481 ns/op
# Warmup Iteration   5: 494,859 ns/op
# Warmup Iteration   6: 331,997 ns/op
# Warmup Iteration   7: 498,218 ns/op
# Warmup Iteration   8: 498,658 ns/op
# Warmup Iteration   9: 496,148 ns/op
# Warmup Iteration  10: 499,020 ns/op
# Warmup Iteration  11: 496,028 ns/op
# Warmup Iteration  12: 499,505 ns/op
# Warmup Iteration  13: 496,808 ns/op
# Warmup Iteration  14: 494,913 ns/op
# Warmup Iteration  15: 496,936 ns/op
Iteration   1: 497,002 ns/op
Iteration   2: 496,642 ns/op
Iteration   3: 499,438 ns/op
Iteration   4: 495,356 ns/op
Iteration   5: 495,751 ns/op
Iteration   6: 494,633 ns/op
Iteration   7: 496,085 ns/op
Iteration   8: 497,251 ns/op
Iteration   9: 495,507 ns/op
Iteration  10: 507,778 ns/op
Iteration  11: 504,187 ns/op
Iteration  12: 523,748 ns/op
Iteration  13: 512,360 ns/op
Iteration  14: 506,016 ns/op
Iteration  15: 496,658 ns/op
Iteration  16: 496,356 ns/op
Iteration  17: 495,119 ns/op
Iteration  18: 498,033 ns/op
Iteration  19: 497,461 ns/op
Iteration  20: 496,955 ns/op
Iteration  21: 498,283 ns/op
Iteration  22: 495,930 ns/op
Iteration  23: 495,630 ns/op
Iteration  24: 496,469 ns/op
Iteration  25: 496,124 ns/op
Iteration  26: 500,697 ns/op
Iteration  27: 495,749 ns/op
Iteration  28: 497,142 ns/op
Iteration  29: 495,396 ns/op
Iteration  30: 495,234 ns/op
Iteration  31: 501,704 ns/op
Iteration  32: 496,594 ns/op
Iteration  33: 495,140 ns/op
Iteration  34: 496,212 ns/op
Iteration  35: 495,522 ns/op
Iteration  36: 494,448 ns/op
Iteration  37: 495,429 ns/op
Iteration  38: 495,677 ns/op
Iteration  39: 495,968 ns/op
Iteration  40: 494,861 ns/op


Result "benchmark.PasswordUtilityBenchmark.testHashPassword":
  497,621 ±(99.9%) 1,781 ns/op [Average]
  (min, avg, max) = (493,321, 497,621, 523,748), stdev = 4,662
  CI (99.9%): [495,840, 499,403] (assumes normal distribution)


# Run complete. Total time: 00:03:45

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

NOTE: Current JVM experimentally supports Compiler Blackholes, and they are in use. Please exercise
extra caution when trusting the results, look into the generated code to check the benchmark still
works, and factor in a small probability of new VM bugs. Additionally, while comparisons between
different JVMs are already problematic, the performance difference caused by different Blackhole
modes can be very significant. Please make sure you use the consistent Blackhole mode for comparisons.

Benchmark                                                                                 (passwordToTest)  Mode  Cnt    Score   Error  Units
PasswordUtilityBenchmark.testHashPassword                                                           123456  avgt   80  426,621 ± 1,947  ns/op
PasswordUtilityBenchmark.testHashPassword  UnaPasswordMoltoLungaPerVedereSeCambiaQualcosaNelTempoDiHashing  avgt   80  497,621 ± 1,781  ns/op
