# JMH version: 1.37
# VM version: JDK 17.0.12, Java HotSpot(TM) 64-Bit Server VM, 17.0.12+8-LTS-286
# VM invoker: C:\Program Files\Java\jdk-17\bin\java.exe
# VM options: -ea -Dfile.encoding=UTF-8 -XX:+ShowCodeDetailsInExceptionMessages
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 15 iterations, 1 s each
# Measurement: 40 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.AutenticationServiceBenchmark.testLoginSuccess

# Run progress: 0,00% complete, ETA 00:09:10
# Fork: 1 of 2
# Warmup Iteration   1: 1,075 us/op
# Warmup Iteration   2: 0,909 us/op
# Warmup Iteration   3: 0,867 us/op
# Warmup Iteration   4: 0,865 us/op
# Warmup Iteration   5: 0,860 us/op
# Warmup Iteration   6: 0,859 us/op
# Warmup Iteration   7: 0,867 us/op
# Warmup Iteration   8: 0,863 us/op
# Warmup Iteration   9: 0,867 us/op
# Warmup Iteration  10: 0,872 us/op
# Warmup Iteration  11: 0,864 us/op
# Warmup Iteration  12: 0,863 us/op
# Warmup Iteration  13: 0,861 us/op
# Warmup Iteration  14: 0,869 us/op
# Warmup Iteration  15: 0,871 us/op
# Warmup Iteration   4: 0,939 us/op
# Warmup Iteration   5: 0,936 us/op
# Warmup Iteration   6: 0,931 us/op
# Warmup Iteration   7: 0,938 us/op
# Warmup Iteration   8: 0,938 us/op
# Warmup Iteration   9: 0,937 us/op
# Warmup Iteration  10: 0,940 us/op
# Warmup Iteration  11: 0,946 us/op
# Warmup Iteration  12: 0,934 us/op
# Warmup Iteration  13: 0,940 us/op
# Warmup Iteration  14: 0,939 us/op
# Warmup Iteration  15: 0,936 us/op
Iteration   1: 0,936 us/op
Iteration   2: 0,937 us/op
Iteration   3: 0,935 us/op
Iteration   4: 0,936 us/op
Iteration   5: 0,935 us/op
Iteration   6: 0,933 us/op
Iteration   7: 0,936 us/op
Iteration   8: 0,938 us/op
Iteration   9: 0,937 us/op
Iteration  10: 0,936 us/op
Iteration  11: 0,932 us/op
Iteration  12: 0,937 us/op
Iteration  13: 0,934 us/op
Iteration  14: 0,935 us/op
Iteration  15: 0,935 us/op
Iteration  16: 0,943 us/op
Iteration  17: 0,934 us/op
Iteration  18: 0,934 us/op
Iteration  19: 0,935 us/op
Iteration  20: 0,936 us/op
Iteration  21: 0,935 us/op
Iteration  22: 0,936 us/op
Iteration  23: 0,934 us/op
Iteration  24: 0,937 us/op
Iteration  25: 0,933 us/op
Iteration  26: 0,936 us/op
Iteration  27: 0,935 us/op
Iteration  28: 0,935 us/op
Iteration  29: 0,934 us/op
Iteration  30: 0,936 us/op
Iteration  31: 0,934 us/op
Iteration  32: 0,934 us/op
Iteration  33: 0,929 us/op
Iteration  34: 0,941 us/op
Iteration  35: 0,935 us/op
Iteration  36: 0,942 us/op
Iteration  37: 0,949 us/op
Iteration  38: 0,939 us/op
Iteration  39: 0,943 us/op
Iteration  40: 0,944 us/op


Result "benchmark.AutenticationServiceBenchmark.testLoginSuccess":
  0,900 ±(99.9%) 0,014 us/op [Average]
  (min, avg, max) = (0,856, 0,900, 0,949), stdev = 0,037
  CI (99.9%): [0,886, 0,915] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 17.0.12, Java HotSpot(TM) 64-Bit Server VM, 17.0.12+8-LTS-286
# VM invoker: C:\Program Files\Java\jdk-17\bin\java.exe
# VM options: -ea -Dfile.encoding=UTF-8 -XX:+ShowCodeDetailsInExceptionMessages
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 15 iterations, 1 s each
# Measurement: 40 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.AutenticationServiceBenchmark.testLoginUserNotFound

# Run progress: 20,00% complete, ETA 00:07:29
# Fork: 1 of 2
# Warmup Iteration   1: 0,002 us/op
# Warmup Iteration   2: 0,002 us/op
# Warmup Iteration   3: 0,002 us/op
# Warmup Iteration   4: 0,002 us/op
# Warmup Iteration   5: 0,002 us/op
# Warmup Iteration   6: 0,002 us/op
# Warmup Iteration   7: 0,002 us/op
# Warmup Iteration   8: 0,002 us/op
# Warmup Iteration   9: 0,002 us/op
# Warmup Iteration  10: 0,002 us/op
# Warmup Iteration  11: 0,002 us/op
# Warmup Iteration  12: 0,002 us/op
# Warmup Iteration  13: 0,002 us/op
# Warmup Iteration  14: 0,002 us/op
# Warmup Iteration  15: 0,002 us/op
Iteration   1: 0,002 us/op
Iteration   2: 0,002 us/op
Iteration   3: 0,002 us/op
Iteration   4: 0,002 us/op
Iteration   5: 0,002 us/op
Iteration   6: 0,002 us/op
Iteration   7: 0,002 us/op
Iteration   8: 0,002 us/op
Iteration   9: 0,002 us/op
Iteration  10: 0,002 us/op
Iteration  11: 0,002 us/op
Iteration  12: 0,002 us/op
Iteration  13: 0,002 us/op
Iteration  14: 0,002 us/op
Iteration  15: 0,002 us/op
Iteration  16: 0,002 us/op
Iteration  17: 0,002 us/op
Iteration  18: 0,002 us/op
Iteration  19: 0,002 us/op
Iteration  20: 0,002 us/op
Iteration  21: 0,002 us/op
Iteration  22: 0,002 us/op
Iteration  23: 0,002 us/op
Iteration  24: 0,002 us/op
Iteration  25: 0,002 us/op
Iteration  26: 0,002 us/op
Iteration  27: 0,002 us/op
Iteration  28: 0,002 us/op
Iteration  29: 0,002 us/op
Iteration  30: 0,002 us/op
Iteration  31: 0,002 us/op
Iteration  32: 0,002 us/op
Iteration  33: 0,002 us/op
Iteration  34: 0,002 us/op
Iteration  35: 0,002 us/op
Iteration  36: 0,002 us/op
Iteration  37: 0,002 us/op
Iteration  38: 0,002 us/op
Iteration  39: 0,002 us/op
Iteration  40: 0,002 us/op

# Run progress: 30,00% complete, ETA 00:06:33
# Fork: 2 of 2
# Warmup Iteration   1: 0,002 us/op
# Warmup Iteration   2: 0,002 us/op
# Warmup Iteration   3: 0,002 us/op
# Warmup Iteration   4: 0,002 us/op
# Warmup Iteration   5: 0,002 us/op
# Warmup Iteration   6: 0,002 us/op
# Warmup Iteration   7: 0,002 us/op
# Warmup Iteration   8: 0,002 us/op
# Warmup Iteration   9: 0,002 us/op
# Warmup Iteration  10: 0,002 us/op
# Warmup Iteration  11: 0,002 us/op
# Warmup Iteration  12: 0,002 us/op
# Warmup Iteration  13: 0,002 us/op
# Warmup Iteration  14: 0,002 us/op
# Warmup Iteration  15: 0,002 us/op
Iteration   1: 0,002 us/op
Iteration   2: 0,002 us/op
Iteration   3: 0,002 us/op
Iteration   4: 0,002 us/op
Iteration   5: 0,002 us/op
Iteration   6: 0,002 us/op
Iteration   7: 0,002 us/op
Iteration   8: 0,002 us/op
Iteration   9: 0,002 us/op
Iteration  10: 0,002 us/op
Iteration  11: 0,002 us/op
Iteration  12: 0,002 us/op
Iteration  13: 0,002 us/op
Iteration  14: 0,002 us/op
Iteration  15: 0,002 us/op
Iteration  16: 0,002 us/op
Iteration  17: 0,002 us/op
Iteration  18: 0,002 us/op
Iteration  19: 0,002 us/op
Iteration  20: 0,002 us/op
Iteration  21: 0,002 us/op
Iteration  22: 0,002 us/op
Iteration  23: 0,002 us/op
Iteration  24: 0,002 us/op
Iteration  25: 0,002 us/op
Iteration  26: 0,002 us/op
Iteration  27: 0,002 us/op
Iteration  28: 0,002 us/op
Iteration  29: 0,002 us/op
Iteration  30: 0,002 us/op
Iteration  31: 0,002 us/op
Iteration  32: 0,002 us/op
Iteration  33: 0,002 us/op
Iteration  34: 0,002 us/op
Iteration  35: 0,002 us/op
Iteration  36: 0,002 us/op
Iteration  37: 0,002 us/op
Iteration  38: 0,002 us/op
Iteration  39: 0,002 us/op
Iteration  40: 0,002 us/op


Result "benchmark.AutenticationServiceBenchmark.testLoginUserNotFound":
  0,002 ±(99.9%) 0,001 us/op [Average]
  (min, avg, max) = (0,002, 0,002, 0,002), stdev = 0,001
  CI (99.9%): [0,002, 0,002] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 17.0.12, Java HotSpot(TM) 64-Bit Server VM, 17.0.12+8-LTS-286
# VM invoker: C:\Program Files\Java\jdk-17\bin\java.exe
# VM options: -ea -Dfile.encoding=UTF-8 -XX:+ShowCodeDetailsInExceptionMessages
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 15 iterations, 1 s each
# Measurement: 40 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.AutenticationServiceBenchmark.testLoginWrongPassword

# Run progress: 40,00% complete, ETA 00:05:42
# Fork: 1 of 2
# Warmup Iteration   1: 1,175 us/op
# Warmup Iteration   2: 0,921 us/op
# Warmup Iteration   3: 0,916 us/op
# Warmup Iteration   4: 0,917 us/op
# Warmup Iteration   5: 0,936 us/op
# Warmup Iteration   6: 0,917 us/op
# Warmup Iteration   7: 0,918 us/op
# Warmup Iteration   8: 0,914 us/op
# Warmup Iteration   9: 0,913 us/op
# Warmup Iteration  10: 0,913 us/op
# Warmup Iteration  11: 0,913 us/op
# Warmup Iteration  12: 0,915 us/op
# Warmup Iteration  13: 0,912 us/op
# Warmup Iteration  14: 0,923 us/op
# Warmup Iteration  15: 0,914 us/op
Iteration   1: 0,912 us/op
Iteration   2: 0,915 us/op
Iteration   3: 0,914 us/op
Iteration   4: 0,913 us/op
Iteration   5: 0,913 us/op
Iteration   6: 0,911 us/op
Iteration   7: 0,911 us/op
Iteration   8: 0,916 us/op
Iteration   9: 0,910 us/op
Iteration  10: 0,915 us/op
Iteration  11: 0,911 us/op
Iteration  12: 0,915 us/op
Iteration  13: 0,911 us/op
Iteration  14: 0,913 us/op
Iteration  15: 0,913 us/op
Iteration  16: 0,916 us/op
Iteration  17: 0,909 us/op
Iteration  18: 0,916 us/op
Iteration  19: 0,909 us/op
Iteration  20: 0,913 us/op
Iteration  21: 0,921 us/op
Iteration  22: 0,916 us/op
Iteration  23: 0,916 us/op
Iteration  24: 0,917 us/op
Iteration  25: 0,927 us/op
Iteration  26: 0,918 us/op
Iteration  27: 0,916 us/op
Iteration  28: 0,939 us/op
Iteration  29: 0,921 us/op
Iteration  30: 0,938 us/op
Iteration  31: 0,934 us/op
Iteration  32: 0,919 us/op
Iteration  33: 0,915 us/op
Iteration  34: 0,915 us/op
Iteration  35: 0,915 us/op
Iteration  36: 0,914 us/op
Iteration  37: 0,918 us/op
Iteration  38: 0,916 us/op
Iteration  39: 0,917 us/op
Iteration  40: 0,915 us/op

# Run progress: 50,00% complete, ETA 00:04:48
# Fork: 2 of 2
# Warmup Iteration   1: 1,106 us/op
# Warmup Iteration   2: 0,908 us/op
# Warmup Iteration   3: 0,877 us/op
# Warmup Iteration   4: 0,894 us/op
# Warmup Iteration   5: 0,909 us/op
# Warmup Iteration   6: 0,898 us/op
# Warmup Iteration   7: 0,973 us/op
# Warmup Iteration   8: 0,974 us/op
# Warmup Iteration   9: 0,919 us/op
# Warmup Iteration  10: 0,923 us/op
# Warmup Iteration  11: 0,904 us/op
# Warmup Iteration  12: 0,890 us/op
# Warmup Iteration  13: 0,926 us/op
# Warmup Iteration  14: 0,904 us/op
# Warmup Iteration  15: 0,887 us/op
Iteration   1: 0,892 us/op
Iteration   2: 0,921 us/op
Iteration   3: 0,899 us/op
Iteration   4: 0,920 us/op
Iteration   5: 0,906 us/op
Iteration   6: 0,908 us/op
Iteration   7: 0,897 us/op
Iteration   8: 0,902 us/op
Iteration   9: 0,914 us/op
Iteration  10: 0,912 us/op
Iteration  11: 0,894 us/op
Iteration  12: 0,895 us/op
Iteration  13: 0,893 us/op
Iteration  14: 0,887 us/op
Iteration  15: 0,894 us/op
Iteration  16: 0,885 us/op
Iteration  17: 0,890 us/op
Iteration  18: 0,885 us/op
Iteration  19: 0,883 us/op
Iteration  20: 0,881 us/op
Iteration  21: 0,887 us/op
Iteration  22: 0,881 us/op
Iteration  23: 0,885 us/op
Iteration  24: 0,886 us/op
Iteration  25: 0,882 us/op
Iteration  26: 0,882 us/op
Iteration  27: 0,905 us/op
Iteration  28: 0,882 us/op
Iteration  29: 0,887 us/op
Iteration  30: 0,897 us/op
Iteration  31: 0,887 us/op
Iteration  32: 0,884 us/op
Iteration  33: 0,884 us/op
Iteration  34: 0,882 us/op
Iteration  35: 0,888 us/op
Iteration  36: 0,944 us/op
Iteration  37: 0,959 us/op
Iteration  38: 0,891 us/op
Iteration  39: 0,890 us/op
Iteration  40: 0,883 us/op


Result "benchmark.AutenticationServiceBenchmark.testLoginWrongPassword":
  0,906 ±(99.9%) 0,006 us/op [Average]
  (min, avg, max) = (0,881, 0,906, 0,959), stdev = 0,017
  CI (99.9%): [0,900, 0,912] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 17.0.12, Java HotSpot(TM) 64-Bit Server VM, 17.0.12+8-LTS-286
# VM invoker: C:\Program Files\Java\jdk-17\bin\java.exe
# VM options: -ea -Dfile.encoding=UTF-8 -XX:+ShowCodeDetailsInExceptionMessages
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 15 iterations, 1 s each
# Measurement: 40 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.AutenticationServiceBenchmark.testLogout

# Run progress: 60,00% complete, ETA 00:03:50
# Fork: 1 of 2
# Warmup Iteration   1: 0,002 us/op
# Warmup Iteration   2: 0,002 us/op
# Warmup Iteration   3: 0,002 us/op
# Warmup Iteration   4: 0,002 us/op
# Warmup Iteration   5: 0,002 us/op
# Warmup Iteration   6: 0,002 us/op
# Warmup Iteration   7: 0,002 us/op
# Warmup Iteration   8: 0,002 us/op
# Warmup Iteration   9: 0,002 us/op
# Warmup Iteration  10: 0,002 us/op
# Warmup Iteration  11: 0,002 us/op
# Warmup Iteration  12: 0,002 us/op
# Warmup Iteration  13: 0,002 us/op
# Warmup Iteration  14: 0,002 us/op
# Warmup Iteration  15: 0,002 us/op
Iteration   1: 0,002 us/op
Iteration   2: 0,002 us/op
Iteration   3: 0,002 us/op
Iteration   4: 0,002 us/op
Iteration   5: 0,002 us/op
Iteration   6: 0,002 us/op
Iteration   7: 0,002 us/op
Iteration   8: 0,002 us/op
Iteration   9: 0,002 us/op
Iteration  10: 0,002 us/op
Iteration  11: 0,002 us/op
Iteration  12: 0,002 us/op
Iteration  13: 0,002 us/op
Iteration  14: 0,002 us/op
Iteration  15: 0,002 us/op
Iteration  16: 0,002 us/op
Iteration  17: 0,002 us/op
Iteration  18: 0,002 us/op
Iteration  19: 0,002 us/op
Iteration  20: 0,002 us/op
Iteration  21: 0,002 us/op
Iteration  22: 0,002 us/op
Iteration  23: 0,002 us/op
Iteration  24: 0,002 us/op
Iteration  25: 0,002 us/op
Iteration  26: 0,002 us/op
Iteration  27: 0,002 us/op
Iteration  28: 0,002 us/op
Iteration  29: 0,003 us/op
Iteration  30: 0,002 us/op
Iteration  31: 0,002 us/op
Iteration  32: 0,002 us/op
Iteration  33: 0,002 us/op
Iteration  34: 0,002 us/op
Iteration  35: 0,002 us/op
Iteration  36: 0,002 us/op
Iteration  37: 0,002 us/op
Iteration  38: 0,002 us/op
Iteration  39: 0,002 us/op
Iteration  40: 0,002 us/op

# Run progress: 70,00% complete, ETA 00:02:52
# Fork: 2 of 2
# Warmup Iteration   1: 0,002 us/op
# Warmup Iteration   2: 0,002 us/op
# Warmup Iteration   3: 0,002 us/op
# Warmup Iteration   4: 0,002 us/op
# Warmup Iteration   5: 0,002 us/op
# Warmup Iteration   6: 0,002 us/op
# Warmup Iteration   7: 0,002 us/op
# Warmup Iteration   8: 0,002 us/op
# Warmup Iteration   9: 0,002 us/op
# Warmup Iteration  10: 0,002 us/op
# Warmup Iteration  11: 0,002 us/op
# Warmup Iteration  12: 0,002 us/op
# Warmup Iteration  13: 0,002 us/op
# Warmup Iteration  14: 0,002 us/op
# Warmup Iteration  15: 0,002 us/op
Iteration   1: 0,002 us/op
Iteration   2: 0,002 us/op
Iteration   3: 0,002 us/op
Iteration   4: 0,002 us/op
Iteration   5: 0,002 us/op
Iteration   6: 0,002 us/op
Iteration   7: 0,002 us/op
Iteration   8: 0,002 us/op
Iteration   9: 0,002 us/op
Iteration  10: 0,002 us/op
Iteration  11: 0,002 us/op
Iteration  12: 0,002 us/op
Iteration  13: 0,002 us/op
Iteration  14: 0,002 us/op
Iteration  15: 0,002 us/op
Iteration  16: 0,002 us/op
Iteration  17: 0,002 us/op
Iteration  18: 0,002 us/op
Iteration  19: 0,002 us/op
Iteration  20: 0,002 us/op
Iteration  21: 0,002 us/op
Iteration  22: 0,002 us/op
Iteration  23: 0,002 us/op
Iteration  24: 0,002 us/op
Iteration  25: 0,002 us/op
Iteration  26: 0,002 us/op
Iteration  27: 0,002 us/op
Iteration  28: 0,002 us/op
Iteration  29: 0,002 us/op
Iteration  30: 0,002 us/op
Iteration  31: 0,002 us/op
Iteration  32: 0,002 us/op
Iteration  33: 0,002 us/op
Iteration  34: 0,002 us/op
Iteration  35: 0,002 us/op
Iteration  36: 0,002 us/op
Iteration  37: 0,002 us/op
Iteration  38: 0,002 us/op
Iteration  39: 0,002 us/op
Iteration  40: 0,002 us/op


Result "benchmark.AutenticationServiceBenchmark.testLogout":
  0,002 ±(99.9%) 0,001 us/op [Average]
  (min, avg, max) = (0,002, 0,002, 0,003), stdev = 0,001
  CI (99.9%): [0,002, 0,002] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 17.0.12, Java HotSpot(TM) 64-Bit Server VM, 17.0.12+8-LTS-286
# VM invoker: C:\Program Files\Java\jdk-17\bin\java.exe
# VM options: -ea -Dfile.encoding=UTF-8 -XX:+ShowCodeDetailsInExceptionMessages
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 15 iterations, 1 s each
# Measurement: 40 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.AutenticationServiceBenchmark.testRegister

# Run progress: 80,00% complete, ETA 00:01:54
# Fork: 1 of 2
# Warmup Iteration   1: 0,890 us/op
# Warmup Iteration   2: 0,644 us/op
# Warmup Iteration   3: 0,662 us/op
# Warmup Iteration   4: 0,646 us/op
# Warmup Iteration   5: 0,649 us/op
# Warmup Iteration   6: 0,621 us/op
# Warmup Iteration   7: 0,630 us/op
# Warmup Iteration   8: 0,657 us/op
# Warmup Iteration   9: 0,660 us/op
# Warmup Iteration  10: 0,649 us/op
# Warmup Iteration  11: 0,646 us/op
# Warmup Iteration  12: 0,652 us/op
# Warmup Iteration  13: 0,653 us/op
# Warmup Iteration  14: 0,655 us/op
# Warmup Iteration  15: 0,660 us/op
Iteration   1: 0,648 us/op
Iteration   2: 0,664 us/op
Iteration   3: 0,653 us/op
Iteration   4: 0,644 us/op
Iteration   5: 0,645 us/op
Iteration   6: 0,636 us/op
Iteration   7: 0,638 us/op
Iteration   8: 0,652 us/op
Iteration   9: 0,652 us/op
Iteration  10: 0,648 us/op
Iteration  11: 0,645 us/op
Iteration  12: 0,637 us/op
Iteration  13: 0,608 us/op
Iteration  14: 0,652 us/op
Iteration  15: 0,637 us/op
Iteration  16: 0,638 us/op
Iteration  17: 0,637 us/op
Iteration  18: 0,651 us/op
Iteration  19: 0,632 us/op
Iteration  20: 0,652 us/op
Iteration  21: 0,646 us/op
Iteration  22: 0,628 us/op
Iteration  23: 0,652 us/op
Iteration  24: 0,636 us/op
Iteration  25: 0,633 us/op
Iteration  26: 0,628 us/op
Iteration  27: 0,643 us/op
Iteration  28: 0,639 us/op
Iteration  29: 0,642 us/op
Iteration  30: 0,646 us/op
Iteration  31: 0,650 us/op
Iteration  32: 0,630 us/op
Iteration  33: 0,639 us/op
Iteration  34: 0,670 us/op
Iteration  35: 0,633 us/op
Iteration  36: 0,656 us/op
Iteration  37: 0,653 us/op
Iteration  38: 0,665 us/op
Iteration  39: 0,660 us/op
Iteration  40: 0,656 us/op

# Run progress: 90,00% complete, ETA 00:00:57
# Fork: 2 of 2
# Warmup Iteration   1: 0,809 us/op
# Warmup Iteration   2: 0,654 us/op
# Warmup Iteration   3: 0,635 us/op
# Warmup Iteration   4: 0,623 us/op
# Warmup Iteration   5: 0,611 us/op
# Warmup Iteration   6: 0,591 us/op
# Warmup Iteration   7: 0,600 us/op
# Warmup Iteration   8: 0,594 us/op
# Warmup Iteration   9: 0,597 us/op
# Warmup Iteration  10: 0,598 us/op
# Warmup Iteration  11: 0,631 us/op
# Warmup Iteration  12: 0,592 us/op
# Warmup Iteration  13: 0,629 us/op
# Warmup Iteration  14: 0,638 us/op
# Warmup Iteration  15: 0,632 us/op
Iteration   1: 0,660 us/op
Iteration   2: 0,649 us/op
Iteration   3: 0,643 us/op
Iteration   4: 0,589 us/op
Iteration   5: 0,578 us/op
Iteration   6: 0,589 us/op
Iteration   7: 0,599 us/op
Iteration   8: 0,610 us/op
Iteration   9: 0,607 us/op
Iteration  10: 0,611 us/op
Iteration  11: 0,586 us/op
Iteration  12: 0,598 us/op
Iteration  13: 0,602 us/op
Iteration  14: 0,634 us/op
Iteration  15: 0,614 us/op
Iteration  16: 0,584 us/op
Iteration  17: 0,606 us/op
Iteration  18: 0,611 us/op
Iteration  19: 0,601 us/op
Iteration  20: 0,582 us/op
Iteration  21: 0,582 us/op
Iteration  22: 0,609 us/op
Iteration  23: 0,607 us/op
Iteration  24: 0,605 us/op
Iteration  25: 0,619 us/op
Iteration  26: 0,602 us/op
Iteration  27: 0,577 us/op
Iteration  28: 0,592 us/op
Iteration  29: 0,627 us/op
Iteration  30: 0,625 us/op
Iteration  31: 0,587 us/op
Iteration  32: 0,644 us/op
Iteration  33: 0,613 us/op
Iteration  34: 0,577 us/op
Iteration  35: 0,584 us/op
Iteration  36: 0,611 us/op
Iteration  37: 0,589 us/op
Iteration  38: 0,628 us/op
Iteration  39: 0,614 us/op
Iteration  40: 0,595 us/op


Result "benchmark.AutenticationServiceBenchmark.testRegister":
  0,625 ±(99.9%) 0,010 us/op [Average]
  (min, avg, max) = (0,577, 0,625, 0,670), stdev = 0,026
  CI (99.9%): [0,615, 0,635] (assumes normal distribution)


# Run complete. Total time: 00:09:31

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

NOTE: Current JVM experimentally supports Compiler Blackholes, and they are in use. Please exercise
extra caution when trusting the results, look into the generated code to check the benchmark still
works, and factor in a small probability of new VM bugs. Additionally, while comparisons between
different JVMs are already problematic, the performance difference caused by different Blackhole
modes can be very significant. Please make sure you use the consistent Blackhole mode for comparisons.

Benchmark                                             Mode  Cnt  Score    Error  Units
AutenticationServiceBenchmark.testLoginSuccess        avgt   80  0,900 ±  0,014  us/op
AutenticationServiceBenchmark.testLoginUserNotFound   avgt   80  0,002 ±  0,001  us/op
AutenticationServiceBenchmark.testLoginWrongPassword  avgt   80  0,906 ±  0,006  us/op
AutenticationServiceBenchmark.testLogout              avgt   80  0,002 ±  0,001  us/op
AutenticationServiceBenchmark.testRegister            avgt   80  0,625 ±  0,010  us/op
