# JMH version: 1.37
# VM version: JDK 17.0.12, Java HotSpot(TM) 64-Bit Server VM, 17.0.12+8-LTS-286
# VM invoker: C:\Program Files\Java\jdk-17\bin\java.exe
# VM options: -ea -Dfile.encoding=UTF-8 -XX:+ShowCodeDetailsInExceptionMessages
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 15 iterations, 1 s each
# Measurement: 40 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PasswordUtilityBenchmark.testHashPassword
# Parameters: (passwordToTest = 123456)

# Run progress: 0,00% complete, ETA 00:03:40
# Fork: 1 of 2
# Warmup Iteration   1: 0,554 us/op
# Warmup Iteration   2: 0,435 us/op
# Warmup Iteration   3: 0,439 us/op
# Warmup Iteration   4: 0,434 us/op
# Warmup Iteration   5: 0,438 us/op
# Warmup Iteration   6: 0,433 us/op
# Warmup Iteration   7: 0,434 us/op
# Warmup Iteration   8: 0,434 us/op
# Warmup Iteration   9: 0,433 us/op
# Warmup Iteration  10: 0,431 us/op
# Warmup Iteration  11: 0,434 us/op
# Warmup Iteration  12: 0,432 us/op
# Warmup Iteration  13: 0,436 us/op
# Warmup Iteration  14: 0,433 us/op
# Warmup Iteration  15: 0,434 us/op
Result "benchmark.PasswordUtilityBenchmark.testHashPassword":
  0,415 ±(99.9%) 0,007 us/op [Average]
  (min, avg, max) = (0,388, 0,415, 0,455), stdev = 0,019
  CI (99.9%): [0,408, 0,422] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 17.0.12, Java HotSpot(TM) 64-Bit Server VM, 17.0.12+8-LTS-286
# VM invoker: C:\Program Files\Java\jdk-17\bin\java.exe
# VM options: -ea -Dfile.encoding=UTF-8 -XX:+ShowCodeDetailsInExceptionMessages
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 15 iterations, 1 s each
# Measurement: 40 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PasswordUtilityBenchmark.testHashPassword
# Parameters: (passwordToTest = UnaPasswordMoltoLungaPerVedereSeCambiaQualcosaNelTempoDiHashing)

# Run progress: 50,00% complete, ETA 00:01:52
# Fork: 1 of 2
# Warmup Iteration   1: 0,633 us/op
# Warmup Iteration   2: 0,498 us/op
# Warmup Iteration   3: 0,515 us/op
# Warmup Iteration   4: 0,513 us/op
# Warmup Iteration   5: 0,511 us/op
# Warmup Iteration   6: 0,509 us/op
# Warmup Iteration   7: 0,510 us/op
# Warmup Iteration   8: 0,510 us/op
# Warmup Iteration   9: 0,510 us/op
# Warmup Iteration  10: 0,512 us/op
# Warmup Iteration  11: 0,511 us/op
# Warmup Iteration  12: 0,509 us/op
# Warmup Iteration  13: 0,512 us/op
# Warmup Iteration  14: 0,514 us/op
# Warmup Iteration  15: 0,512 us/op
Iteration   1: 0,513 us/op
Iteration   2: 0,512 us/op
Iteration   3: 0,512 us/op
Iteration   4: 0,514 us/op
Iteration   5: 0,510 us/op
Iteration   6: 0,510 us/op
Iteration   7: 0,510 us/op
Iteration   8: 0,512 us/op
Iteration   9: 0,514 us/op
Iteration  10: 0,510 us/op
Iteration  11: 0,510 us/op
Iteration  12: 0,510 us/op
Iteration  13: 0,509 us/op
Iteration  14: 0,511 us/op
Iteration  15: 0,519 us/op
Iteration  16: 0,511 us/op
Iteration  17: 0,512 us/op
Iteration  18: 0,512 us/op
Iteration  19: 0,513 us/op
Iteration  20: 0,510 us/op
Iteration  21: 0,510 us/op
Iteration  22: 0,509 us/op
Iteration  23: 0,511 us/op
Iteration  24: 0,509 us/op
Iteration  25: 0,514 us/op
Iteration  26: 0,511 us/op
Iteration  27: 0,510 us/op
Iteration  28: 0,511 us/op
Iteration  29: 0,513 us/op
Iteration  30: 0,510 us/op
Iteration  31: 0,512 us/op
Iteration  32: 0,511 us/op
Iteration  33: 0,510 us/op
Iteration  34: 0,510 us/op
Iteration  35: 0,510 us/op
Iteration  36: 0,511 us/op
Iteration  37: 0,510 us/op
Iteration  38: 0,512 us/op
Iteration  39: 0,512 us/op
Iteration  40: 0,510 us/op

# Run progress: 75,00% complete, ETA 00:00:56
# Fork: 2 of 2
# Warmup Iteration   1: 0,604 us/op
# Warmup Iteration   2: 0,481 us/op
# Warmup Iteration   3: 0,460 us/op
# Warmup Iteration   4: 0,457 us/op
# Warmup Iteration   5: 0,457 us/op
# Warmup Iteration   6: 0,457 us/op
# Warmup Iteration   7: 0,459 us/op
# Warmup Iteration   8: 0,460 us/op
# Warmup Iteration   9: 0,460 us/op
# Warmup Iteration  10: 0,458 us/op
# Warmup Iteration  11: 0,458 us/op
# Warmup Iteration  12: 0,458 us/op
# Warmup Iteration  13: 0,458 us/op
# Warmup Iteration  14: 0,458 us/op
# Warmup Iteration  15: 0,456 us/op
Iteration   1: 0,459 us/op
Iteration   2: 0,458 us/op
Iteration   3: 0,457 us/op
Iteration   4: 0,459 us/op
Iteration   5: 0,463 us/op
Iteration   6: 0,461 us/op
Iteration   7: 0,458 us/op
Iteration   8: 0,458 us/op
Iteration   9: 0,464 us/op
Iteration  10: 0,459 us/op
Iteration  11: 0,460 us/op
Iteration  12: 0,461 us/op
Iteration  13: 0,460 us/op
Iteration  14: 0,461 us/op
Iteration  15: 0,459 us/op
Iteration  16: 0,460 us/op
Iteration  17: 0,458 us/op
Iteration  18: 0,457 us/op
Iteration  19: 0,458 us/op
Iteration  20: 0,458 us/op
Iteration  21: 0,459 us/op
Iteration  22: 0,458 us/op
Iteration  23: 0,457 us/op
Iteration  24: 0,460 us/op
Iteration  25: 0,463 us/op
Iteration  26: 0,457 us/op
Iteration  27: 0,460 us/op
Iteration  28: 0,458 us/op
Iteration  29: 0,458 us/op
Iteration  30: 0,459 us/op
Iteration  31: 0,457 us/op
Iteration  32: 0,457 us/op
Iteration  33: 0,456 us/op
Iteration  34: 0,458 us/op
Iteration  35: 0,462 us/op
Iteration  36: 0,460 us/op
Iteration  37: 0,455 us/op
Iteration  38: 0,455 us/op
Iteration  39: 0,457 us/op
Iteration  40: 0,459 us/op


Result "benchmark.PasswordUtilityBenchmark.testHashPassword":
  0,485 ±(99.9%) 0,010 us/op [Average]
  (min, avg, max) = (0,455, 0,485, 0,519), stdev = 0,027
  CI (99.9%): [0,475, 0,495] (assumes normal distribution)


# Run complete. Total time: 00:03:45

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

NOTE: Current JVM experimentally supports Compiler Blackholes, and they are in use. Please exercise
extra caution when trusting the results, look into the generated code to check the benchmark still
works, and factor in a small probability of new VM bugs. Additionally, while comparisons between
different JVMs are already problematic, the performance difference caused by different Blackhole
modes can be very significant. Please make sure you use the consistent Blackhole mode for comparisons.

Benchmark                                                                                 (passwordToTest)  Mode  Cnt  Score   Error  Units
PasswordUtilityBenchmark.testHashPassword                                                           123456  avgt   80  0,415 ± 0,007  us/op
PasswordUtilityBenchmark.testHashPassword  UnaPasswordMoltoLungaPerVedereSeCambiaQualcosaNelTempoDiHashing  avgt   80  0,485 ± 0,010  us/op
