# JMH version: 1.37
# VM version: JDK 17.0.12, Java HotSpot(TM) 64-Bit Server VM, 17.0.12+8-LTS-286
# VM invoker: C:\Program Files\Java\jdk-17\bin\java.exe
# VM options: -ea -Dfile.encoding=UTF-8 -XX:+ShowCodeDetailsInExceptionMessages
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 15 iterations, 1 s each
# Measurement: 40 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.ProfileServiceBenchmark.testGetUsersMap

# Run progress: 0,00% complete, ETA 00:05:30
# Fork: 1 of 2
# Warmup Iteration   1: 10993 ns/op
# Warmup Iteration   2: 9695 ns/op
# Warmup Iteration   3: 9698 ns/op
# Warmup Iteration   4: 9836 ns/op
# Warmup Iteration   5: 9543 ns/op
# Warmup Iteration   6: 9637 ns/op
# Warmup Iteration   7: 9565 ns/op
# Warmup Iteration   8: 9550 ns/op
# Warmup Iteration   9: 9572 ns/op
# Warmup Iteration  10: 9573 ns/op
# Warmup Iteration  11: 9611 ns/op
# Warmup Iteration  12: 9598 ns/op
# Warmup Iteration  13: 9603 ns/op
# Warmup Iteration  14: 9651 ns/op
# Warmup Iteration  15: 9592 ns/op
Iteration  31: 431,651 ns/op
Iteration  32: 436,303 ns/op
Iteration  33: 434,775 ns/op
Iteration  34: 433,455 ns/op
Iteration  35: 435,209 ns/op
Iteration  36: 433,055 ns/op
Iteration  37: 432,893 ns/op
Iteration  38: 430,840 ns/op
Iteration  39: 431,176 ns/op
Iteration  40: 430,966 ns/op


Result "benchmark.ProfileServiceBenchmark.testPasswordUpdate":
  452,400 ±(99.9%) 12,148 ns/op [Average]
  (min, avg, max) = (341,909, 452,400, 605,488), stdev = 31,789
  CI (99.9%): [440,252, 464,548] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 17.0.12, Java HotSpot(TM) 64-Bit Server VM, 17.0.12+8-LTS-286
# VM invoker: C:\Program Files\Java\jdk-17\bin\java.exe
# VM options: -ea -Dfile.encoding=UTF-8 -XX:+ShowCodeDetailsInExceptionMessages
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 15 iterations, 1 s each
# Measurement: 40 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.ProfileServiceBenchmark.testProfileUpdate

# Run progress: 66,67% complete, ETA 00:01:52
# Fork: 1 of 2
# Warmup Iteration   1: 587,672 ns/op
# Warmup Iteration   2: 491,835 ns/op
# Warmup Iteration   3: 491,274 ns/op
# Warmup Iteration   4: 503,358 ns/op
# Warmup Iteration   5: 493,639 ns/op
# Warmup Iteration   6: 494,058 ns/op
# Warmup Iteration   7: 492,278 ns/op
# Warmup Iteration   8: 490,756 ns/op
# Warmup Iteration   9: 497,780 ns/op
# Warmup Iteration  10: 501,229 ns/op
# Warmup Iteration  11: 492,435 ns/op
# Warmup Iteration  12: 492,036 ns/op
# Warmup Iteration  13: 492,512 ns/op
# Warmup Iteration  14: 491,130 ns/op
# Warmup Iteration  15: 493,353 ns/op
Iteration   1: 492,069 ns/op
Iteration   2: 489,898 ns/op
Iteration   3: 490,752 ns/op
Iteration   4: 490,313 ns/op
Iteration   5: 516,350 ns/op
Iteration   6: 502,287 ns/op
Iteration   7: 500,732 ns/op
Iteration   8: 542,842 ns/op
Iteration   9: 504,356 ns/op
Iteration  10: 511,578 ns/op
Iteration  11: 492,231 ns/op
Iteration  12: 489,452 ns/op
Iteration  13: 493,673 ns/op
Iteration  14: 492,688 ns/op
Iteration  15: 496,535 ns/op
Iteration  16: 503,964 ns/op
Iteration  17: 489,423 ns/op
Iteration  18: 489,799 ns/op
Iteration  19: 491,238 ns/op
Iteration  20: 489,607 ns/op
Iteration  21: 489,434 ns/op
Iteration  22: 490,011 ns/op
Iteration  23: 492,023 ns/op
Iteration  24: 489,377 ns/op
Iteration  25: 496,131 ns/op
Iteration  26: 488,939 ns/op
Iteration  27: 488,290 ns/op
Iteration  28: 489,539 ns/op
Iteration  29: 489,656 ns/op
Iteration  30: 490,068 ns/op
Iteration  31: 489,436 ns/op
Iteration  32: 492,001 ns/op
Iteration  33: 489,992 ns/op
Iteration  34: 487,756 ns/op
Iteration  35: 489,033 ns/op
Iteration  36: 488,592 ns/op
Iteration  37: 490,678 ns/op
Iteration  38: 491,338 ns/op
Iteration  39: 491,293 ns/op
Iteration  40: 491,442 ns/op

# Run progress: 83,33% complete, ETA 00:00:56
# Fork: 2 of 2
# Warmup Iteration   1: 605,354 ns/op
# Warmup Iteration   2: 476,635 ns/op
# Warmup Iteration   3: 475,020 ns/op
# Warmup Iteration   4: 471,567 ns/op
# Warmup Iteration   5: 475,023 ns/op
# Warmup Iteration   6: 472,411 ns/op
# Warmup Iteration   7: 477,529 ns/op
# Warmup Iteration   8: 475,886 ns/op
# Warmup Iteration   9: 481,360 ns/op
# Warmup Iteration  10: 476,333 ns/op
# Warmup Iteration  11: 473,558 ns/op
# Warmup Iteration  12: 473,656 ns/op
# Warmup Iteration  13: 473,264 ns/op
# Warmup Iteration  14: 475,007 ns/op
# Warmup Iteration  15: 480,450 ns/op
Iteration   1: 487,788 ns/op
Iteration   2: 477,750 ns/op
Iteration   3: 501,269 ns/op
Iteration   4: 509,657 ns/op
Iteration   5: 476,455 ns/op
Iteration   6: 471,456 ns/op
Iteration   7: 512,335 ns/op
Iteration   8: 569,217 ns/op
Iteration   9: 496,369 ns/op
Iteration  10: 474,506 ns/op
Iteration  11: 476,635 ns/op
Iteration  12: 480,330 ns/op
Iteration  13: 483,994 ns/op
Iteration  14: 499,376 ns/op
Iteration  15: 490,679 ns/op
Iteration  16: 486,244 ns/op
Iteration  17: 480,565 ns/op
Iteration  18: 476,607 ns/op
Iteration  19: 474,310 ns/op
Iteration  20: 475,316 ns/op
Iteration  21: 478,048 ns/op
Iteration  22: 473,003 ns/op
Iteration  23: 472,861 ns/op
Iteration  24: 472,944 ns/op
Iteration  25: 478,031 ns/op
Iteration  26: 473,282 ns/op
Iteration  27: 474,272 ns/op
Iteration  28: 471,456 ns/op
Iteration  29: 487,151 ns/op
Iteration  30: 472,971 ns/op
Iteration  31: 472,307 ns/op
Iteration  32: 473,658 ns/op
Iteration  33: 475,185 ns/op
Iteration  34: 473,329 ns/op
Iteration  35: 472,850 ns/op
Iteration  36: 471,928 ns/op
Iteration  37: 476,055 ns/op
Iteration  38: 477,222 ns/op
Iteration  39: 471,887 ns/op
Iteration  40: 473,190 ns/op


Result "benchmark.ProfileServiceBenchmark.testProfileUpdate":
  488,341 ±(99.9%) 5,915 ns/op [Average]
  (min, avg, max) = (471,456, 488,341, 569,217), stdev = 15,478
  CI (99.9%): [482,426, 494,256] (assumes normal distribution)


# Run complete. Total time: 00:05:38

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

NOTE: Current JVM experimentally supports Compiler Blackholes, and they are in use. Please exercise
extra caution when trusting the results, look into the generated code to check the benchmark still
works, and factor in a small probability of new VM bugs. Additionally, while comparisons between
different JVMs are already problematic, the performance difference caused by different Blackhole
modes can be very significant. Please make sure you use the consistent Blackhole mode for comparisons.

Benchmark                                   Mode  Cnt     Score     Error  Units
ProfileServiceBenchmark.testGetUsersMap     avgt   80  9484,546 ±  59,027  ns/op
ProfileServiceBenchmark.testPasswordUpdate  avgt   80   452,400 ±  12,148  ns/op
ProfileServiceBenchmark.testProfileUpdate   avgt   80   488,341 ±   5,915  ns/op
